customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8O5FU65S,Female,0,Yes,No,9,Yes,Fiber optic,Two year,Electronic check,38.26,725.81,Yes
614U7ONS,Female,0,Yes,No,22,Yes,Fiber optic,Month-to-month,Mailed check,46.63,1535.93,No
OFIT7ZR1,Male,0,No,No,27,Yes,DSL,One year,Bank transfer (automatic),119.93,196.98,No
I5FN1XML,Female,0,No,No,10,Yes,Fiber optic,Month-to-month,Mailed check,45.34,4051.5,No
SU0SXZ1R,Female,0,Yes,Yes,61,No,Fiber optic,One year,Mailed check,51.54,1284.16,Yes
92QD2DJY,Male,1,Yes,Yes,51,Yes,Fiber optic,Month-to-month,Credit card (automatic),85.25,150.19,Yes
4CBYFZH8,Female,0,Yes,No,10,Yes,No,Two year,Credit card (automatic),47.98,3719.48,Yes
0YRACDOH,Male,0,No,No,6,Yes,DSL,Month-to-month,Electronic check,40.01,4866.03,No
SZJNS3E4,Female,1,No,Yes,62,Yes,DSL,One year,Bank transfer (automatic),34.18,1678.14,No
GS4X7WF9,Male,0,Yes,No,5,Yes,Fiber optic,Month-to-month,Credit card (automatic),49.89,5384.42,No
0KEQG0OM,Male,0,No,Yes,70,Yes,DSL,Month-to-month,Electronic check,28.8,7270.82,No
KZV1X2ID,Male,0,Yes,No,63,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),19.9,2643.33,No
RP62JI41,Female,1,No,Yes,56,Yes,Fiber optic,Month-to-month,Electronic check,100.07,1847.26,No
CNYOBXNG,Female,0,No,Yes,59,Yes,DSL,Month-to-month,Credit card (automatic),32.07,3670.05,No
9X030OZA,Male,0,Yes,Yes,63,No,DSL,Month-to-month,Electronic check,97.15,2412.9,No
D2AVKJQ9,Female,0,No,No,59,Yes,DSL,One year,Bank transfer (automatic),99.35,768.59,No
ZUMIKKFA,Female,1,No,No,51,Yes,Fiber optic,One year,Bank transfer (automatic),72.87,4103.34,No
FMV4V0NE,Female,0,Yes,No,50,Yes,Fiber optic,Month-to-month,Electronic check,49.59,582.94,No
957GJQ3U,Male,1,No,No,4,Yes,DSL,One year,Bank transfer (automatic),32.79,391.33,No
MAA6YZM1,Female,0,Yes,No,48,Yes,DSL,Month-to-month,Electronic check,93.15,3780.02,No
63HALEXF,Female,0,No,Yes,32,Yes,DSL,One year,Bank transfer (automatic),79.34,1172.24,No
YAYA5CS2,Female,0,Yes,No,51,Yes,DSL,Month-to-month,Electronic check,84.86,3209.17,Yes
BIQ9QLTC,Male,0,Yes,No,52,Yes,No,One year,Electronic check,18.88,86.75,Yes
DQO6PKTX,Male,1,No,No,34,Yes,DSL,Month-to-month,Electronic check,112.61,861.29,No
P37AXXIV,Female,0,No,Yes,36,Yes,Fiber optic,Two year,Mailed check,24.76,368.58,No
LQY1O30V,Male,0,Yes,No,70,Yes,No,Month-to-month,Bank transfer (automatic),55.41,2767.24,No
J40L4558,Female,0,No,Yes,43,Yes,DSL,Month-to-month,Credit card (automatic),59.08,2539.34,No
UJPGD0Y4,Female,0,No,No,16,Yes,Fiber optic,Month-to-month,Electronic check,18.14,1197.42,Yes
KT9QK38V,Male,0,No,Yes,59,Yes,No,Two year,Mailed check,68.7,3348.99,No
08DPPUZ9,Male,0,Yes,No,53,Yes,No,One year,Credit card (automatic),94.79,2563.19,No
SQZV1A9B,Male,0,Yes,No,19,Yes,Fiber optic,One year,Electronic check,101.97,4882.0,No
QUIMKPPB,Female,0,Yes,No,41,Yes,Fiber optic,Two year,Credit card (automatic),107.7,3465.56,No
HMQXC3MS,Female,0,No,No,47,No,No,Two year,Mailed check,67.75,2563.19,No
GISVRWBK,Male,0,No,No,54,Yes,DSL,One year,Credit card (automatic),82.32,6164.85,No
46NPK6G4,Male,0,Yes,No,55,Yes,No,Month-to-month,Electronic check,26.11,6923.82,No
N1PSQZFI,Male,0,Yes,No,19,Yes,Fiber optic,Two year,Credit card (automatic),67.78,1713.31,No
Q4LWE99C,Female,0,No,No,62,Yes,Fiber optic,Month-to-month,Credit card (automatic),33.79,519.2,Yes
